,Clue,Answer,Explanation
0,"About to be absorbed into the crowd, as they say (5)",THREE,"Definition: crowd, as they say
 **RE** (with reference to; about) **contained in** (absorbed into) **THE**
 **TH** (**RE**) **E**"
1,"Don’t allow ghostly coverings, say, with no time for wailing spirits (8)",BANSHEES,"Definition: wailing spirits
 **BAN** (don’t allow) **+ SHEETS** (ghosts are often portrayed as covered in a **SHEET**; ghostly coverings) **excluding** (with no) **T**
 **BAN** **SHEES**"
2,"City, European, swathed in black carpets (6) ",BRUGES,"Definition: City
 **E** (European) **contained in** (swathed in) (**B** [black, when describing pencil lead] **+ RUGS** [carpets])
 **B** **RUG** (**E**) **S**"
3,"Caught dancing around, around large witch’s accessory? (8)",CAULDRON,"Definition: witch’s accessory
 **C** (caught) **+** (**an anagram of** [dancing] **AROUND** **containing** [around] **L** [large])
 **C** **AU** (**L**) **DRON***"
4,"Real German playwright, German, not British (4) ",ECHT,"Definition: Real
 **BRECHT** (reference Bertolt **BRECHT** [1898 – 1956], German playwright) **excluding** (not) **BR** (British)
 **ECHT**"
5,Charge lots of directors for advertising material (10),BILLBOARDS,"Definition: advertising material
 **BILL** (raise an invoice; charge) **+ BOARDS** (groups of [lots of] company directors)
 **BILL BOARDS**"
6,"Look at new type of cinema, returning in middle of week (7)",EXAMINE,"Definition: Look at
 (**N** [new] **+ IMAX** [system of widescreen cinema presentation]) **reversed** (returning) and **contained in** (in) **EE** (**central letters of** [middle of] **WEEK**)
 **E** (**XAMI N**)< **E**"
7,Awkward customer to toss back endless throws (7),BOLSHIE,"Definition: Awkward customer
 **LOB** (toss) **reversed** (back) **+ SHIES** (throws) **excluding the final letter** (endless) **S**
 **BOL**< **SHIE**"
8,"Afropop in bar, endlessly (3)",RAI,"Definition: Afropop
 **RAIL** (bar) **excluding the final letter** (endlessly) **L**
 **RAI**"
9,Not a member of group possibly facing follow-on? (7),OUTSIDE,"Definition: Not a member of group
 **OUT SIDE** (a **SIDE** in cricket that is all **OUT** after its first innings, for a score that is substantially less than their opponents who batted first, may be asked to bat again [follow-on] before their opponents)
 **OUT SIDE**"
10,Meadow hired out after fine bit of advertising (7),LEAFLET,"Definition: bit of advertising
 **LEA** (meadow) **+** **F** (fine) **+ LET** (hired out)
 **LEA F LET**"
11,"Discriminatory treatment, not primarily excellent standard (10)",INEQUALITY,"Definition: Discriminatory treatment
 **FINE** (excellent) **excluding the first letter** (not primarily) **F** **+ QUALITY** (standard)
 **INE QUALITY**"
12,Happen to get cheers for version under test (4),BETA,"Definition: version under test
 **BE** (happen) **+ TA** (thank you; cheers)
 **BE TA**"
13,One special lunar vehicle? Man provides home for one (8),ISLANDER,"Definition: Man provides home for one
 **I** (Roman numeral for one) **+ S** (special) **+ LANDER** (reference a lunar **LANDER,** a vehicle used by astronauts to **LAND** on the moon)
 **I S LANDER**"
14,Declining upholstery material if front’s absent (6) ,EBBING,"Definition: Declining
 **WEBBING** (woven strip of hemp, used for belts, etc, for various purposes in upholstery) **excluding the first letter** (front’s absent) **W**
 **EBBING**"
15,Malta is getting peevish with independent state (8),MISSOURI,"Definition: state
 **M** (International Vehicle Registration for Malta) **+ IS + SOUR** (irritable; peevish) **+ I** (independent)
 **M IS SOUR I**"
16,Dude showing extremes of duplicity (5),DANDY,"Definition: Dude
 **D AND Y** (**D** and **Y** are t**he outer letters** **of** [extremes of] **DUPLICITY**)
 **D AND Y**"
17,Put down a quantity of food (5),TABLE,"Definition: Put down
 **TABLE** (a supply or quantity of food) **double definition**
 **TABLE**"
18,"Rowdy company, somewhat plastered? (9) ",ROUGHCAST,"Definition: somewhat plastered
 **ROUGH** (turbulent; rowdy) **+ CAST** (a company of actors)
 **ROUGH CAST**"
19,Cumbrian river: pike’s last refuge (4),EDEN,"Definition: Cumbrian river
 **E** (**final letter of** [last] **PIKE**) **+ DEN** (hideaway; refuge)
 **E DEN**"
20,I should be promoted in duty following a very advanced state of readiness (12),AVAILABILITY,"Definition: state of readiness
 **A + V** (very) **+ A** (advanced) **+ LIABILITY** (duty) **with the first I raised up this down entry** [promoted] **to form** **ILABILITY**
 **A V A ILABILITY**"
21,"A line in some plan revised feature of dam? (6,4)",SALMON LEAP,"Definition:  feature of dam
 (**A** **+ L** [line])** contained in an anagram of** (revised) **SOME PLAN **
 **S **(**A L**)** MON LEAP***"
22,Annoying child denied first wrong act (5),ERROR,"Definition: wrong act
 **TERROR** (annoying child) **excluding the first letter** (denied first) **T**
 **ERROR**"
23,"Getting old, observes small amount of money, having claimed pension at last (9)",SENESCENT,"Definition: Getting old
 (**SEES** [observes] **+ CENT** [small amount of money]) **containing** (having claimed) **N** (f**inal letter of** [at last] **PENSION**)
 **SE** (**N**) **ES CENT**"
24,"Possibly release diary – it covers 365 days or so (8,4)",SIDEREAL YEAR,"Definition:  it covers 365 days or so
 **Anagram of** (possibly) **RELEASE DIARY**
 **SIDEREAL YEAR***"
25,"Foolish insinuation, overlooking a new decline? (10)",DIMINUENDO,"Definition: decline
 **DIM** (foolish) **+ INNUENDO** (insinuation) **excluding** (overlooking) **one of the ** (a) **N**s
 **DIM INUENDO**"
26,Isometric exercises? Sexy stuff (9),EROTICISM,"Definition: Sexy stuff
 **Anagram of** (exercises) **ISOMETRIC**
 **EROTICISM***"
27,"Associated with detective, hansom lies mostly free (9) ",HOLMESIAN,"Definition: Associated with detective
 **Anagram of** (free) **HANSOM** and **LIES** **excluding the final letter** (mostly) **S**
 **HOLMESIAN***"
28,Novel listing includes literary pseudonym (5),ELLIS,"Definition: literary pseudonym
 **ELLIS** (**hidden word** [includes] **in** **NOVEL LISTING**)
 **ELLIS**"
29,"Old King, trapped in a US city, in a rage (5) ",ANGRY,"Definition: in a rage
 **GR** (George Rex, one of many old British Kings) **contained in** (trapped in) (**A + NY** [New York, US city])
 **A** **N** (**GR**) **Y**"
30,A necklace item one lost among the sheets? (4) ,ABED,"Definition: among the sheets
 **A + BEAD** (necklace item) **excluding** (lost) **A** (one)
 **A + BED**"
31,Fancy hot bedrooms are not groovy (6-5) ,SMOOTH-BORED,"Definition: not groovy
 **Anagram of** (fancy) **HOT BEDROOMS**
 **SMOOTH BORED***"
32,Flower sends submariner into an ecstasy (7) ,ANEMONE,"Definition: Flower
 **NEMO** (reference Captain **NEMO**, fictional submariner created by the novelist Jules Verne [1828 – 1905] and featured in ‘Twenty Thousand Leagues Under the Seas’ and ‘The Mysterious Island’) **contained in** (sends … into) (**AN + E** [ecstasy tablet])
 **A** (**NEMO**) **N** **E**"
33,"One shied, caught out concealing scam (7) ",COCONUT,"Definition: One shied
 (**C** [caught] **+ OUT**) **containing** (concealing) **CON** (**CON**fidence trick or scam)
 **C** **O** (**CON**) **UT**"
34,Cosmetics salesperson from America comes back to make a big bang (9),SUPERNOVA,"Definition: big bang
 (**AVON REP** [**AVON** is a long established cosmetic company whose **REP**resentatives [sales people] are apparently still encouraged to knock on doors to sell their products] **+ US** [United States; America]) **all reversed** (comes back)
 (**SU PER NOVA**)<"
35,Tree’s total area collecting carbon (5) ,SUMAC,"Definition: Tree
 **SUM** (total) **+ A** (area) **+ C** (carbon)
 **SUM A C**"
36,Accent presumably from the south-west (4) ,TONE,"Definition: Accent
 **TO NE** (to the North East, therefore presumably from the South West)
 **TONE**"
37,"Armada, circling a minute lifeboat, stalls (4,6) ",FLEA MARKET,"Definition: stalls
 **FLEET** (armada) **containing** (circling) (**A + M** [minute] **+ ARK** (Noah’s lifeboat for himself, his wife and the animals that went in two-by-two)
 **FLE** (**A M ARK**) **ET**"
38,One takes people through specialist trial (10) ,EXPERIMENT,"Definition: trial
 (**I** [Roman numeral for one] **+ MEN** [people]) **contained in** (through) **EXPERT** (specialist)
 **EXPER** (**I MEN**) **T**"
39,Writing about sporting blunder in bad visibility (4) ,SMOG,"Definition: bad visibility
 **MS** (manuscript; writing) **reversed** (about) **+ OG** (own goal; sporting blunder)
 **SM**< **OG**"
40,Fat boy meets another finally across river (5) ,LARDY,"Definition: Fat
 (**LAD** [boy] **+ Y** [**last letter of** [finally] **BOY** [another lad])** containing** (across) **R** (river)
 **LA** (**R**) **D** **Y**"
41,"Pole is three times wounded — he takes high risks (4,5) ",TEST PILOT,"Definition: he takes high risks
 **Anagram of** (wounded) **POLE IS** and **TTT** [three occurrences of **T** [time]; three times)
 **TEST PILOT***"
42,"We hear Oscar’s agent did lose all control (3,4)",RUN WILD,"Definition: lose all control
 **RUN** (manage, as an agent would do) **+ WILD** (**sounds like** [we hear] **WILDE** [reference **OSCAR WILDE** [1854-1900], Irish poet and playwright)
 **RUN WILD**"
43,One who’s withdrawn from class in recycling (7) ,RECLUSE,"Definition: One who’s withdrawn
 **CL** (class) **contained in** (in) **REUSE** (recycling)
 **RE** (**CL**) **USE**"
44,"End striker’s loan period for second leg (6,5) ",RETURN MATCH,"Definition: second leg
 **RETURN MATCH** (cryptic reference to ending the loan period of [**RETURN**ing] a striker [a **MATCH**]) **cryptic definition**
 **RETURN MATCH**"
45,"Wife not interested tonight? I can’t manage (8,7) ",SLEEPING PARTNER,"Definition: I can’t manage
 **SLEEPING PARTNER** (a wife [or husband?], **PARTNER**, who chooses to **SLEEP** rather than indulge in other activities in bed) **cryptic definition**
 **SLEEPING PARTNER**"
46,"Stench of Iberian river, bubble rising to the surface (5) ",ODOUR,"Definition: Stench
 **DOURO** (river in Portugal, part of the Iberian peninsula) with the final **O** (bubble shaped character) **rising to the top** [surface] [down entry] **to form ODOUR**
 **ODOUR**"
47,Ornamental tracery work probed by judge (7) ,TREFOIL,"Definition: Ornamental tracery
 **TOIL** (work) **containing** (probed by) **REF** (**REF**eree; judge)
 **T** (**REF**) **OIL**"
48,Out of helmet take a large pastry (7) ,BACLAVA,"Definition: pastry
 **BALACLAVA** (knitted hat covering the head and neck, with an opening for the face, also known as a **BALACLAVA** helmet) **excluding** (out of) (**A** **+ L** [large])
 **BACLAVA**"
49,A man draws this stack of hay and wood (8) ,RICKSHAW,"Definition: A man draws this
 **RICK** (stack of hay) **+ SHAW** (a small wood)
 **RICK SHAW**"
50,"Teacher preparing me a talk — me! Yuk, it’s unbelievable (4,4,2,5) ",DON,"Definition: it’s unbelievable
 **DON** (university teacher) **+ an anagram of** (preparing) **ME A TALK ME** **+ UGH**! (expression of repugnance similar to **YUK**!)
 **DON** (‘**T MAKE ME LA***) **UGH**"
51,"There’s malaria spreading: call for help (5,3,5) ",RAISE THE ALARM,"Definition: call for help
 **Anagram of** (spreading) **THERE’S MALARIA**
 **RAISE THE ALARM***"
52,"Support each other to win hearts, blocking pig killer (5,8) ",STICK TOGETHER,"Definition: Support each other
 (**TO + GET** [win] **+ H** [hearts]) **contained in** (blocking) **STICKER** (person who kills pigs)
 **STICK** (**TO** **GET H**) **ER**"
53,"All the officers here succeeded in moving my trial (4,4) ",ARMY LIST,"Definition: All the officers here
 **S** (succeeded) **contained in** (in) **an anagram of** (moving) **MY TRIAL**
 **ARMY LI** (**S**) **T***"
54,Ring performer has millions on top of a little gold (7) ,MATADOR,"Definition: Ring performer
 **M** (millions) **+ A + TAD** (small amount; little) **+ OR** (gold tincture) – this being a down entry, the **M** is on top of all the other letters
 **M A TAD OR**"
55,Favoured remedy in no way peculiar (7) ,NOSTRUM,"Definition: Favoured remedy
 **NO** **+ ST** (street; way) **+ RUM** (odd; peculiar)
 **NO ST RUM**"
56,Lacy border seemingly good on bed (5) ,PICOT,"Definition: Lacy border
 **PI** (pious or sanctimonious person; one seemingly good) **+ COT** (bed)
 **PI COT**"
57,City gentleman knocked back by secretary (5),PARIS,"Definition: City
 **PA** (personal assistant; secretary) **+ SIR** (form of address for a gentleman) **reversed** (knocked back)
 **PA RIS**<"
58,Rogue One’s cast is sexy (9) ,EROGENOUS,"Definition: sexy
 **Anagram of** (cast) **ROGUE ONE’S**
 **EROGENOUS***"
