,Clue,Answer,Explanation
0,Stress in the tube? (9),UNDERLINE,"Definition: Stress
The Tube, or London Underground, could be an “under line”, and you can stress something by underlining it"
1,She combines with it to be poetic (4),COPE,"Definition: She
POETIC is an anagram of COPE + IT, and “she” is the poet Wendy Cope"
2,Scotch perhaps about a time to bully (8),MALTREAT,"Definition: bully
MALT [whisky] + RE A T"
3,Recorder backing work for asylum seeker? (6),ÉMIGRÉ,"Definition: asylum seeker?
EMI (recording company) + reverse of ERG (unit of work)"
4,One that makes master feel inadequate? (6),FEMALE,"Definition: One that makes master feel inadequate?
(MA FEEL)* &lit – a nice concept, but rather spoilt by the indirect anagram, even though MA=master is a common crossword trick"
5,Boy tries out record (8),REGISTER,"Definition: record
REG + TRIES*"
6,Chuffed by story about party leader (6),ELATED,"Definition: Chuffed
Reverse of TALE + ED [Miliband]"
7,Revolting classic character can love America (8),MUTINOUS,"Definition: Revolting
MU (Greek letter = “classic character”) + TIN + O + US"
8,Spice for 15 Roman character early in the week (8),CINNAMON,"Definition: Spice
CINNA (presumably this one, one of the conspirators against Julius Caesar) + MON[day]"
9,Slight arch on East Sussex shore? (6),CAMBER,"Definition: Slight arch
Camber is a slight curvature, e.g. of a road surface (as in the worrying road sign “adverse camber”), and Camber Sands is a (reasonably well known – at least I’ve heard of it) beach near Rye in East Sussex"
10,His name gained New World prominence (8),VESPUCCI,"Definition: His name gained New World prominence
(Barely) cryptic definition, referring to Amerigo Vespucci, Italian explorer after whom the continent of America was (probably) named"
11,Element slightly indecent in church office (6),CURACY,"Definition: church office
CU (copper) + RACY"
12,"Conqueror turned to race, inter alia (6)",ATTILA,"Definition: Conqueror
TT (motorbike race) in ALIA, reversed"
13,Time read out from one side to the other (8),DIAMETER,"Definition: from one side to the other
(TIME READ)*"
14,"What’s said or sung, but not at church (4)",ORAL,"Definition: What’s said
CHORAL less CH"
15,Number turn out after emergency call and keep it going (9),SOSTENUTO,"Definition: keep it going
SOS (emergency call) + TEN + OUT*. Sostenuto (Italian “sustained”) is used in music to indicate a smooth style of playing"
16,Decree to take Britain as English (5),UKASE,"Definition: Decree
UK (Britain) + AS E. Ukase was a proclamation in tsarist Russia"
17,Take away from foreign land (7),DETRACT,"Definition: Take away
DE (“from” in French etc) + TRACT (land)"
18,Note girl gets to bailiff (5),REEVE,"Definition: bailiff
RE (note, as in do-re-mi) + EVE"
19,Plant setter’s getting for the time being (7),INTERIM,"Definition: the time being
INTER (bury, plant) + I’M (setter is)"
20,Lively Frenchman backed to become in charge (9),ENERGETIC,"Definition: Lively
Reverse of RENÉ + GET + IC"
21,Watertight chamber is thus in metal shell (7),CAISSON,"Definition: Watertight chamber
IS SO in CAN. Read all about caisson as a wateright compartment here"
22,8 in itself quaintly pleasing (9),PERSECUTE,"Definition: 8
PER SE (in itself) + CUTE"
23,Crete lies roughly somewhere between Reykjavik and Aden! (9),LEICESTER,"Definition: somewhere between Reykjavik and Aden
(CRETE LIES)*. I don’t know if there’s any significance in the choice of Reykjavik and Aden as places that Leicester (or Crete) is between"
24,Politicians find rising star come to dead end (9),DEMOCRATS,"Definition: Politicians
STAR COME [dea]D, all reversed"
25,Like marriage taking up Latin translation (7),NUPTIAL,"Definition: Like marriage
(UP LATIN)*"
26,One sea and other river nymphs (7),NAIADES,"Definition: river nymphs
(I SEA AND)* – the usual English plurual is Naiads, but Chambers also gives this version, which is closer to the Greek original"
27,A bit in France sounds a fortiori here (7),MORCEAU,"Definition: A bit in France
Homophone of “more so”,which is an informal definition of *a fortiori*. MORCEAU is French for “piece”, or “bit”"
28,Hunt with no time to be modest (5),CHASE,"Definition: Hunt
CHASTE less T. The “be” is redundant in the cryptic reading"
29,Belief being firm about colour (5),CREDO,"Definition: Belief
RED in CO[mpany]"
30,Remain faithful in divorce (6),CLEAVE,"Definition: Remain faithful
Double definition – CLEAVE is a word that famously has two opposite meanings"
31,Bandage man after slap (6),SWATHE,"Definition: Bandage
SWAT + HE"
32,"Wonder if poem matters, half left out (6,2,7)",TEMPLE OF ARTEMIS,"Definition: Wonder
(IF POEM MATTERS LE[ft])*. The Temple of Artemis was one of the Seven Wonders of the Ancient World"
33,Line written about that writer (6),CRAYON,"Definition: writer
ARC< + YON (that)"
34,"Resort to Hamlet, being typecast? (3,5)",HOT METAL,"Definition: typecast
(TO HAMLET)*"
35,"Second fast bowler, one rocket-propelled? (8)",SPACEMAN,"Definition: one rocket-propelled
S + PACEMAN"
36,"Bolted, as half-locked? (6)",DASHED,"Definition: Bolted
Apart from dashed=bolted=moved fast I don’t understand this"
37,Trim tree (6),SPRUCE,"Definition: Trim
Double definition"
38,Extreme inhumanity in beauty (8),DEVILISH,"Definition: Extreme
EVIL in DISH"
39,Virgin son with a flat stomach? (8),SPOTLESS,"Definition: Virgin
S + POTLESS (i.e. not having a pot belly)"
40,Person taking money (6),NICKER,"Definition: Person taking
Double definition – to nick is to steal, and nicker is slang for a pound"
41,"Break wind to woo lasses, then spread it about a bit (3,4,4,4)",SOW ONE’S WILD OATS,"Definition: spread it about a bit
(WIND TO WOO LASSES)* Probably not to be recommended as an actual way of wooing."
42,Reason utter fool’s punched (6),SANITY,"Definition: Reason
NIT (fool) in SAY (utter)"
43,"Man getting Roosevelt sacked, partially recovered (6)",CASTLE,"Definition: Man
Hidden in reverse of roosevELT SACked. A castle (aka rook) is a chessman"
44,"Lift red, then lift white (5,2)",CHEER UP,"Definition: Lift
CHE (Guevara, crosswordland’s favourite “red”) + reverse of PURE (white)"
45,Skim lure over bottom of filthy drain (5),EMPTY,"Skim lure over bottom of filthy drain (5)
[t]EMPT + [filth]Y"
46,Country with spirit welcoming hothead (7),VIETNAM,"Definition: Country
ETNA (volcano or “hothead”) in VIM"
47,Beaten material (7),WORSTED,"Definition: Beaten
Double definition"
48,Country has me flipping incensed (7),EMIRATE,"Definition: Country
EM< + IRATE"
49,"Hound a strong country, endlessly (6)",AFGHAN,"Definition: Hound
A F (forte, strong) + GHAN[a]. Lots of countries in this puzzle!"
50,Declining figures for game show (9),COUNTDOWN,"Definition: Declining figures
Double definition – a spacecraft’s “10, 9, 8..” and the venerable Channel 4 game show"
51,"Song for children in which parent attempts to cut through spiky plant (3,4,3,6)",POP GOES THE WEASEL,"Definition: Song for children
POP (parent) GOES (attempts) + HEW in TEASEL"
52,"Water, perhaps, that’s in a kettle (7)",ELEMENT,"Definition: Water, perhaps
Double definition – there are lots of those here too"
53,Reject is gripped by melancholy (6),DISOWN,"Definition: Reject
IS in DOWN (melancholy, adj.)"
54,"Nothing special to find love in a toilet, when head over heels (7)",VANILLA,"Definition: Nothing special
NIL in (A LAV)<. ""Vanilla"" can mean ""plain, not unusual"""
55,Woman holding magazine cover (7),SHEATHE,"Definition: cover
HEAT in SHE, which incidentally is also the name of a recently-defunct magazine (though others of the same name exist elsewhere)"
56,Pull or blow (5),CLOUT,"Definition: Pull
And another double definition – “pull” as in influence, and “blow” as in striking someone. Not exactly opposite meanings, except in the surface reading, but a nice symmetry with the first clue"
57,Story told to encourage when caught in this? (8),TAILBACK,"Definition: this
Homophone of “tale” + BACK (encourage). Not much of a definition – I suppose the idea is that children might be told stories to keep them happy in a traffic jam"
58,Old dictator took vehicle over backwater (6),CAESAR,"Definition: Old dictator
SEA< in CAR"
59,Dictator’s henchmen sorting postage (7),GESTAPO,"Definition: Dictator’s henchmen
POSTAGE*"
60,Saul’s blowers? (7),BELLOWS,"Definition: blowers
Reference to the author Saul Bellow"
61,"Is short, they say — short of discipline (5)",LACKS,"Definition: Is short
Homophone of “lax” (short of discipline). This seems to be the wrong way round, but I think it’s just about Ok; I think replacing the dash with a colon would improve it"
62,"Possibly last drink is more than brackish (4,5)",SALT WATER,"Definition: is more than brackish
LAST* + WATER. One of my bugbear clues (which I still need a name for), with WATER having the same meaning in wordplay and answer"
63,"Perhaps 1p under fails, giving away more than intended (8,4)",FREUDIAN SLIP,"Definition: giving away more than intended
(IP UNDER FAILS)*"
64,Front wheelwright? (12),SPOKESPERSON,"Definition: Front
Double definition, or definition + cryptic def: a spokesperson is a “front” for an organisation, and wheels have spokes."
65,"It takes one to settle abnormal dressing requirements (6,3)",TOILET SET,"Definition: dressing requirements
(I TO SETTLE)*"
66,With love three can affect the atmosphere (5),OZONE,"Definition: atmosphere
The chemical symbol for Ozone is O3 (and O = love). I’m not sure if the definition should include the words “can affect the” – it doesn’t seem very accurate either way"
67,Creatures making a lot of tricks in a turn (7),ANIMALS,"Definition: Creatures
Reverse of SLAM (lots of tricks in Bridge etc) IN A"
68,She‘s a model on the game (7),BRIDGET,"Definition: She
BRIDGE + [Ford Model] T"
69,Music produced by some person at an instrument (6),SONATA,"Definition: Music
Hidden in perSON AT An instrument, with a redundant word to make the whole clue a definition (I won’t call it &lit as the structure isn’t right), as a sonata is an instrumental piece (though ti can be for more that one), as opposed to a cantata, which is sung."
70,"People wearing necklace, whereon they are distressed (4,4)",BEAM ENDS,"Definition: whereon they are distressed
MEN in BEADS – if you’re on your beam ends you’re (financially) distressed"
71,Leg got twisted in crosspiece (6),TOGGLE,"Definition: crosspiece
(LEG GOT)*"
72,Being of fashionable school? (6),INSECT,"Definition: Being
IN (fashionable) + SECT"
73,Money republic raised for a place to dine (9),BRASSERIE,"Definition: a place to dine
BRASS (money) + EIRE<"
74,"For election of members? (5,8)",CROSS PURPOSES,"Definition: For election of members
Cryptic definition – the purpose of a cross on a ballot paper is the election of a member of parliament (etc)"
75,Permit to be without depth and quiet? (5),ALLOW,"Definition: Permit
SHALLOW (without depth) less SH (quiet). I think the double use of “without” here is quite clever."
76,"Throw over discussion, keeping student at ease (8)",SMOOTHLY,"Definition: at ease
MOOT , L in SHY"
77,Decree for others about to tear inside (8),RESCRIPT,"Definition: Decree
C (about) RIP in REST. Rescript is “an edict or decree”"
78,"Carrier of cannon balls? (8,5)",BILLIARD TABLE,"Definition: Carrier of cannon balls
Cryptic definition – a cannon is a type of stroke in billiards, which also involves balls"
79,Some log in prepared for a new term (9),NEOLOGISM,"Definition: a new term
(SOME LOG IN)*"
80,Lost without heroin — on Sunday smokers need them (8),ASHTRAYS,"Definition: smokers need them
H in ASTRAY + S"
81,Attitude is shown up in draught (8),POSITION,"Definition: Attitude
IS< in POTION (draught)"
82,Many an instrument playing in Llaregyb (6),MORGAN,"Definition: playing in Llaregyb
M (1000. many) + ORGAN (instrument). Llaregyb is a bowdlerised spelling of Llareggub, the setting of Dylan Thomas’s *Under Milk Wood*, which includes a character called Organ Morgan. We had the correct spelling of the town recently as an answer in an Orlando puzzle, so I don’t know why Gordius has chosed this version here."
83,New arrivals heard of accommodation on board (6),BERTHS,"Definition: accommodation on board
Homophone of “births”"
84,Make it lawful to bring back corporal punishment by head teacher (5),ENACT,"Definition: Make it lawful
Reverse of CANE + T[eacher], though I don’t like “head teacher” = T."
85,No subject gets trim in steel tempered by sun (9),THEMELESS,"Definition: No subject
HEM (to trim, in dressmaking) in STEEL* + S"
86,Spot large roomy place (5),MOTEL,"Definition: roomy place
MOTE (spot) + L[arge]. A motel is a place with rooms, so a “roomy place”"
87,Rock ’n’ roll classic clue stuffed with wicked content (7),LUCILLE,"Definition: Rock ’n’ roll classic
ILL (wicked) in CLUE* – “stuffed” indicates the anagram, not an insertion as one might think"
88,Superior aid distribution or rapid transport (7),AIRDROP,"Definition: Superior aid distribution
(OR RAPID)* – distribution “from above”, so “superior”"
89,"Fish-eater‘s brother close up (4,4)",MONK SEAL,"Definition: Fish-eater
MONK (brother) + SEAL ( to close up) – a seal (that eats fish) found in Hawaii"
90,"Glowing with colour, one possibly cycles a bit (10)",IRIDESCENT,"Definition: Glowing with colour
I + RIDES + CENT (a bit = coin)"
91,"Which might reveal one’s inner thoughts of careless penmanship? (7,4)",INKBLOT TEST,"Definition: Which might reveal one’s inner thoughts
This is what I call a sesquidef, or a definition-and-a-half: the definition refers to the Rorschach test, which purports to reveal things about people’s personality through their reactions to a set of inkblot patterns"
92,China capped electric leads on memory microchip (7),CERAMIC,"Definition: China
First letters (leads) of C[apped] E[lectric] + RAM (memory) + IC (Integrated circuit, microchip)"
93,"Not a straightforward critic of unrestricted, wide press coverage of Independent (10)",SIDESWIPER,"Definition: Not a straightforward critic
I in (WIDE PRESS)*"
94,"Record down in the charts? That can be a real pain (7,4)",SLIPPED DISC,"Definition: That can be a real pain
If your record is down in the charts then you might have a SLIPPED DISC"
95,Provisional playwright drops leading character: one is contracted (7),INTERIM,"Definition: Provisional
[Harold P]INTER + I’M (= one is, contracted)"
96,"Lives in Lille’s changed together with a former immigration HQ (5,6)",ELLIS ISLAND,"Definition: former immigration HQ
IS in LILLE’S* + AND (together with). Ellis Island in New York Bay was where immigrants to the USA were processed between 1892 and 1954"
97,Darn leisure activity? (9),CROSSWORD,"Definition: Darn
Double definition – “darn!” could be a “cross word”"
98,"Theoretically, it makes us universally central",PTOLEMAIC SYSTEM,"Definition: Theoretically, it makes us universally central
Cryptic definition of the pre-Copernican geocentric model of the universe. It seems a bit lazy to use just a cd for this – it would be hard to guess the first word if you don’t know it, and there must be some good wordplay in there somewhere. For example it’s an anagram of LOST MY SPACETIME or MYSTIC APOSTLE, ME."
99,Maligned dove I can keep up in the air? (8),PEACENIK,"Definition: Maligned dove
(I CAN KEEP)* “A pacifist, *esp* in a derogatory sense” says Chambers (it doesn’t mention that it’s obviously modelled on “beatnik”), so a “maligned dove”"
100,"Creature that’s drained of water’s, er, done for (5,3)",SEWER RAT,"Definition: Creature that’s drained
(WATER’S ER)* – sewer rats might be found in a drain"
101,Jury briber supporters dividing capital return (8),EMBRASOR,"Definition: Jury briber
BRAS in ROME< ""One who seeks to influence jurors by corrupt means […]"""
102,"He wrote back to addressee, finally (6)",STERNE,"Definition: He wrote
STERN (back) + [addresse]E"
103,"It makes Cyclops, cryptically, about the ultimate in crossword’s unsubtle humour (9,6)",SLAPSTICK COMEDY,"Definition: unsubtle humour
[crosswor]D in (IT MAKES CYCLOPS)*, and the surface reading nicely descibes how one might think of Cyclops, Brummie’s alter ego in *Private Eye*"
104,"No more fencing for camp men about to retire? (4,4)",LAST POST,"Definition: camp men about to retire
If you’ve reached your LAST POST then you can’t put up any more of your fence. This bugle call is probably best known to most people from its use at Remebrance Day, but it’s also the signal for the end of the day in an army camp, so time to “retire”"
105,"MASH director, who wants paying (8)",CREDITOR,"Definition: who wants paying
DIRECTOR* (“mashed”)"
106,"Man flu, old style, you could say, post operations here (8)",MAILROOM,"Definition: post operations here
Homophone of “male rheum” – apt for me as I’ve just got over a dose of man flu myself (at least it wasn’t a 23,22)"
107,Doctor Sorrows is boring (6),DRILLS,"Definition: is boring
DR + ILLS"
108,“Charge” contained by concise reference work? (6),INDICT,"Definition: Charge
IN DICT[ionary]"
109,"3 of Pilgrims Progress, opportunist whose heart flipped? (7)",CHAUCER,"Definition: 3 of Pilgrims Progress
CHANCER with the N “flipped over” to become a U (it works better in lower case). Chaucer chronicled the Canterbury pilgrims"
110,"A nice girl, not Irish, could be pure and innocent (7)",ANGELIC,"Definition: pure and innocent
(A NICE GIRL)* less IR"
111,Get a bit of a sore back tossing it? (5),CABER,"Definition: Get a bit of a sore back tossing it?
Hidden in reverse of soRE BACk, &lit"
112,Narcotic plant in province NATO and CIA bombed (9),NICOTIANA,"Definition: Narcotic plant
NI (Northern Ireland, province) + (NATO CIA). I didn’t help myself by initially entering NICOTINIA"
113,"In revolt, Gulf nation’s switching to our 20s (10)",ROMANISING,"Definition: switching to our 20s
OMAN in RISING. Romanising is rewriting another script (e.g. Chinese) in our (Roman) alphabet"
114,Maybe not 25’s choice when it’s knocked back (4),ASTI,"Definition: Maybe not 25’s choice
AS (when) + IT< Asti might be looked down on by oenophiles"
115,Shabby person wearing trousers in matches (11),CORRESPONDS,"Definition: matches
PERSON* in CORDS"
116,"After unrest, Egypt’s ejected government, for example (4)",TYPE,"Definition: example
EGYPT* less G"
117,"Like a couple of missionaries‘ view of a church? (4,2,4)",FACE TO FACE,"Definition: Like a couple of missionaries
FACET OF A CE, the definition presumably referring to the cartoon cliché of missionaries in a cannibals’ cooking pot. *Or more likely, as Shirley and Querulous point out, a reference to the Missionary Position (warning: contains explicit imagery)*"
118,I hope one’s educated to drink litres (9),OENOPHILE,"Definition: I hope one’s educated to drink litres
L in (I HOPE ONE)*, &lit"
119,Fifth columnist in bloody battle not taking sides (5),AGENT,"Definition: Fifth columnist
[M]AGENT[A]. I don’t know if the Battle of Magenta was particularly bloody – can any historians advise?"
120,"Ted’s sick eating fish — there’s a number to get through (3,4)",STD CODE,"Definition: a number to get through
COD in TEDS*"
121,Info about axes reported originally in the Sun (7),DAYSTAR,"Definition: the Sun
YS (i.e Y-axes) in DATA + R[eported]"
122,Measure of 21‘s violent ongoing coercion (6),CICERO,"Definition: Measure of 21
COERCION* less ON (“on going”). A measure in typography"
