,Clue,Answer,Explanation
0,"High on crack, endlessly? It becomes an addictive drug",NARCOTIC,"Definition: an addictive drug
*(ON CRAC<k> + IT); “endlessly” means last letter dropped; “high” is anagram indicator"
1,Top Rhode Island holiday destination,CAPRI,"Definition: holiday destination
CAP (=top) + RI (=Rhode Island)"
2,Timid creature decapitated by large bird,OUSEL,<m>**OUSE** (=timid creature; “decapitated” means first letter dropped) + L (=large)
3,What 9 refuses is of no importance,SMALL BEER,"Definition: of no importance
A total abstainer (=entry at 9) would refuse (to drink a) small beer"
4,"23 perhaps, transported by steamer in Delaware",AMERIND,"Definition: 23 perhaps
Hidden in “ste**AMER** **IN** **D**elaware”; Osage (=entry at 23) is an Amerind tribe"
5,"Daughter namely sound as a bell, eating fewer calories",DIETING,"Definition: eating fewer calories
D (=daughter) + I.E. (=namely) + TING (=sound as a bell)"
6,"A rich earl in conflict with German, would-be military expert?",ARMCHAIR GENERAL,"Definition: would-be military expert
*(A RICH EARL + GERMAN); “in conflict” is anagram indicator; an armchair general is an outspoken warmonger and/or a self-appointed strategist, often one who lacks actual military experience"
7,"Minister, one responsible for internet access?",SERVICE PROVIDER,"Definition: one responsible for internet access
Cryptically, a minister is a provider of religious services"
8,Woman asking for opposite of 11?,ABIGAIL,"Definition: Woman
Homophone (“asking for”) of A BIG ALE (=opposite of SMALL BEER, i.e. entry at 11)"
9,Eject all the spectators,TURN OUT,"Definition: Eject
TURNOUT, written as one word, would be “all the spectators”"
10,Characters at centre of quarrel feature in local story,NARRATIVE,"Definition: story
<qu>**ARR**<el> (“character at centre of” means middle letters only) in NATIVE (=local)"
11,Cost of daily newspaper makes you angry,IRATE,"Definition: angry
i (=daily newspaper, i.e. Indy’s compact sister publication) + RATE (=cost of)"
12,Small creature hiding in grass etc,RASSE,"Definition: Small creature
Hidden (“hiding in”) in “g**RASS** **E**tc”; a rasse is a small civet, Viverricula indica"
13,Find out what point DJ should resume talking?,DISCOVER,"Definition: Find out
Cryptically, a DJ should resume talking when the disc (is) over"
14,Drink one’s found within section of supermarket,AISLE,"Definition: section of supermarket
I’S (=one’s) in ALE (=drink)"
15,Pass on food that’s not very warm,COLDISH,"Definition: not very warm
COL (=pass, i.e. in mountains) + DISH (=food)"
16,"Try out new car – set out, then divert round the bend",TEST DRIVE,"Definition: Try out new car
*(SET) + *(DIVERT); “out” and “round the bend” are both anagram indicators"
17,"Vegetable cleaned at home, you say?",CHARD,"Definition: Vegetable
Homophone (“you say”) of “charred” (=cleaned at home)"
18,"Irish lass, first to get out of school before noon",COLLEEN,"**COLLE**<g>**E** (=school; “first to get (=G, first letter) out” means letter “g” is dropped) + N (=noon)"
19,Revealed for the first time what Mr Miliband aspires to be?,PREMIERED,"Definition: Revealed for the first time
Cryptically, Labour leader Ed Miliband aspires to be Premier Ed!"
20,Faults in one weapon held up among collection of unusual items,IRREGULARITIES,"Definition: Faults
I (=one) + [REGUL (LUGER=weapon, i.e. a pistol; “held up” indicates vertical reversal) in RARITIES (=unusual items)]"
21,"Who might be in tears, upset after having drink at a party?",TOTAL ABSTAINER,"Definition: Who might be in tears, upset after having drink at a party?
TOT (=drink) + A + LAB (=party) + *(IN TEARS); “upset” is anagram indicator; & lit."
22,Millions love to gather in French town for pre-Lent festival,MARDI GRAS,M (=millions) + [DIG (=love) in ARRAS (=French town)]
23,Executioners using poisonous substance to suffocate scoundrel?,GAROTTERS,"Definition: Executioners
ROTTER (=scoundrel) in GAS (=poisonous substance); the question mark alerts solvers to the inappropriate means of execution deployed by the executioners in question!"
24,I’m meeting a friend at cleric’s office,IMAMATE,"Definition: cleric’s office
I’M + A + MATE (=friend)"
25,"In Hitchcock film, I turn green at the start",VERTIGO,"Definition: Hitchcock film
VERT (=green, i.e. in heraldry) + I + GO (=turn, as noun or verb); the reference is to the 1958 psychological thriller starring Kim Novak and James Stewart"
