,Clue,Answer,Explanation
0,Shortly to compete with notable college from Scandinavia (7),VIKINGS,"Definition: from Scandinavia
A charade of VI[e] (‘compete’) cut (‘shortly’) plus KINGS (‘notable college’, the Cambridge college noted for its choir, and the annual Christmas Service of ~~Seven~~ NINE Lessons and Carols)."
1,Man in France I see regularly in Verviers (6),JEEVES,"Definition: Man
A charade of JE (‘in France I’) plus alternate letters (‘see regularly’) in ‘V**E**r**V**i**E**r**S**‘."
2,Nourishment can be obtained from a ginger biscuit — tip off football team (8),NUTRIENT,"Definition: Nourishment
A charade of NUT (‘a ginger biscuit’) plus [o]RIENT (‘football team’, probably Leyton Orient) without its first letter (‘tip off’)."
3,A case most of all descriptive of snakes and eels (6),APODAL,"Definition: descriptive of snakes and eels
A charade of ‘a’ plus POD (‘case’) plus AL ‘most of **AL**l’)."
4,Man is the key to everything (12),PASSEPARTOUT,"Definition: Man
A charade of PASSE (‘key’) plus PAR (‘to’) TOUT (‘everything’; we have slipped into French, not inappropriately). Jean Passepartout is Phileas Fogg’s servant in *Around the World in Eighty Days.*"
5,Bishops can get this cycling endlessly about in back lane (10),ENCYCLICAL,"Definition: Bishops can get this 
An envelope (‘about’) of CYCLIC (‘cycling’) in ENAL, a reversal (‘back’) of ‘lane’. An encyclical is a letter sent by the Pope to his bishops."
6,One is back in intensive care (3),ACE,"Definition: One
Hidden reversed (‘is back in’) in ‘intensic**E** **CA**re’)."
7,Type of potplant easily kept inside (3),TEA,"Definition: Type of pot
A hidden answer (‘inside’) in ‘plan**T EA**sily’)."
8,Cause displeasure when drugs let in another way (10),DISGRUNTLE,"Definition: Cause displeasure
An anagram (‘another way’) of ‘drugs let in’."
9,Earthy smell from refuse tips is re-emergent (12),RECRUDESCENT,"Definition: re-emergent
A charade of RE (‘**R**efus**E** tips’) plus CRUDE (‘earthy’) plus SCENT (‘smell’)."
10,Fly first by way of the original Terminal One (6),AVIATE,"Definition: Fly
A charade of A (‘first’) plus VIA (‘by way of’) plus T (‘**T**he original’) plus E (‘terminal on**E**‘)."
11,"One has got to mention mess up right away (2,2,4)",IN NO TIME,"Definition: right away
A charade of I (‘one’) plus NNOTIME, an anagram (mess up’) of ‘mention’."
12,Man fails to open a giro transfer (6),FIGARO,"Definition: Man
A charade of F (‘**F**ails to open’) plus IGARO, an anagram (‘transfer’) of ‘a giro’. Figaro is the central character in Beaumarchais’ trilogy, and, although working for a time as a barber, was most of the time servant to Count Almaviva."
13,Special link for mobile in hotel (7),HOTLINE,"Definition: Special link
An anagram (‘mobile’) of ‘in hotel’."
14,Release issued from the Royal Opera House? (4),VENT,"Definition: Release
The Royal Opera House, also known as Co**VENT** Garden."
15,Man knows all the opening leads (4),KATO,"Definition: Man
First letters (‘leads’) of ‘**K**nows **A**ll **T**he **O**pening’. I take it that the Kato here is Inspector Clouseau’s sidekick (with the accent on kick)."
16,Renewed life insurances rule out fliers — what a pain in the neck (8),NUISANCE,"Definition: what a pain in the neck
An anagram (‘renewed’) of ‘life insurances’ after removing ‘fliers’."
17,Declines to hear same time occurrences (5),SINKS,"Definition: Declines
A homophone (‘to hear’) of SYNCS (‘same time occurrences’)."
18,Next centre forward is a skilled performer (6),EXPERT,"Definition: a skilled performer
A charade of EX (‘n**EX**t centre’) plus PERT (‘forward’)."
19,"Controversial film cut you deviants out (5,5)",VIDEO NASTY,"Definition: Controversial film
An anagram (‘out’) of YO[u] (‘cut’) plus ‘deviants’."
