,Clue,Answer,Explanation
0,"Retractable shutter, a novel puzzle (7)",DILEMMA,"Definition: ”puzzle”. rev(LID)=”Retractable shutter”, plus EMMA=”a novel”"
1,"Suspect bows on receiving jihadi leader, flattering to deceive (4,3)",SNOW JOB,"Definition: ”flattering to deceive”. (bows on)*, taking in J[ihadi]"
2,"Go__ran Ivan__isevic? (5,11)",SPLIT PERSONALITY,"As well as having had his name SPLIT apart in the clue, Goran Ivanisevic is from the city of Split, Croatia."
3,Selection of peaks on the bottom to shift round (9),REARRANGE,"Definition: ”shift round”. RANGE=”Selection of peaks” as in mountains, after REAR=”bottom”"
4,"Mashed potatoes, healthy skin treatment (10)",OSTEOPATHY,Definition: ”treatment”. (potatoes)* plus H[ealth]Y
5,Rock loco rolled over (4),STUN,Definition: ”Rock”. rev(NUTS)=”loco rolled over”
6,Boobs depicted in brief bikini on bird in US city (11),CHATTANOOGA,"Definition: ”US city”. OO=”Boobs depicted”, in TANGA, a type of bikini brief, all after CHAT, a type of “bird”"
7,99 in this — or two more? (4),CONE,"a 99 Flake ice cream would come in a CONE. Or, C is 100 in Roman numerals, plus ONE giving 101, or “two more” than 99"
8,"Reformer inhaling grass? One’s hooked! (4,6)",COAT HANGER,Definition: ”One’s hooked”. CHANGER=”Reformer” around OAT=”grass”
9,"Bursting, flow with great warm feeling (9)",AFTERGLOW,Definition: ”warm feeling”. (flow great)*
10,Polished diamonds alongside white castle? (5),HONED,Definition: ”Polished”. D[iamonds] next to H ONE = h1 = starting position of White’s kingside castle in chess.
11,A solution that’s nonsense? (7),EYEWASH,Definition: ”A solution”; =”nonsense”
12,Publish charter on outsiders in race (7),RELEASE,"Definition: ”Publish”. LEASE=”charter”, after R[ac]E"
13,"Head of state locked in warehouse, the tyrant (6)",DESPOT,Definition: ”tyrant”. S[tate] inside DEPOT=”warehouse”
14,"Teaser that’s funny, I thank you! (6)",LOLITA,"Definition: ”Teaser”. LOL=laughed out loud=”that’s funny”, plus I plus TA=”thank you!”"
15,"Dog, pooch struggling to eat new cut of meat (6,4)",MUTTON CHOP,Definition: ”cut of meat”. MUTT=”Dog” plus (pooch)* around N[ew]
16,Vital channel in that road going north (5),AORTA,Definition: ”Vital channel”. Hidden reversed in “th**AT ROA**d”
17,"Join past a network of roads? (9,8)",SPAGHETTI JUNCTION,&lit. Join “past” and “a” to give “pasta network of roads”
18,"Doubly right, a vegetable (4)",OKRA,"Definition: ”vegetable”. OK and R[ight]=”Doubly right”, plus A"
19,"Abroad, well rested, rising every two years (8)",BIENNIAL,"Definition: ”every two years”. BIEN=”Abroad [in France], well”, plus rev(LAIN)=”rested, rising”"
20,"Fake Lowry had a name on it — another artist? (4,6)",ANDY WARHOL,Definition: ”artist”. (Lowry had a n[ame])*
21,"Leader in Iran greeting runner, a revolutionary (9)",AYATOLLAH,"Definition: ”Leader in Iran”. reversal (“revolutionary”) of all of: HALLO=”greeting” plus TAY=”runner”=river, plus A"
22,"Modern thinker, gathering speed (5,3)",SPACE AGE,"Definition: ”Modern”. SAGE=”thinker”, around PACE=”speed”"
23,"Race in short cap, brown on top? (8)",BRUNETTE,"Definition: ”brown on top”. RUN=”Race”, inside BETTE[r]=”short cap”, where better=cap=surpass"
24,Plan a class for the audience (6),AGENDA,Definition: ”Plan”. Sounds (“for the audience”) like ‘a gender’=”a class”
25,"Adjustable borer and widget for adjustable spanner? (5,6)",TOWER BRIDGE,Definition: ”adjustable spanner?”. (borer widget)*
26,"Given note for tuning up, then tune up for song (4)",ARIA,"Definition: ”song”. A=”note for tuning up”, being the most common note for a tuning fork, plus rev(AIR)=”tune up”"
27,Circulatory system forces one to walk to work (9),TREADMILL,cryptic def
28,Belt as part of a shirt (4),CUFF,Definition: ”Belt”=strike [as a verb]; =”part of a shirt”
29,"King whose wife went to Paris, causing strife (8)",MENELAUS,"cryptic def – Helen, the wife of King MENELAUS, went with Paris to Troy, causing the Trojan War"
30,Works with potential spouse (6),OPUSES,Definition: ”Works”. (spouse)*
31,Found note in packing case (6),CREATE,Definition: ”Found”. E=”note” in CRATE=”packing case”
32,"Subdued, having arrived after it’s finished (8)",OVERCAME / OVERCOME?,"Definition: ”Subdued”. CAME/COME=”arrived”, after OVER=”finished”"
33,Capital for a ship holding company (6),ASSETS,"Definition: ”Capital”. A SS=”a ship”, around SET=”company”=group of people"
34,A singular spectacle? (8),EYEGLASS,cryptic def – EYEGLASS**es** would be spectacle**s**
35,Revolutionary comrade at last becomes a politician (8),DEMOCRAT,Definition: ”politician”. (comrade)* plus [a]T=”at last”
36,City investment is about to be productive (6),FECUND,"Definition: ”productive”. EC is the postcode area for most of the “City” of London, with FUND=”investment” around (“about”) it"
37,Cricket side and ground not in harmony (3-5),OFF-PITCH,"Definition: ”not in harmony”. OFF=”Cricket side” as opposed to the leg side, plus PITCH=”ground”"
38,Possibly shoots ducks with graduate doctor (6),BAMBOO,"Definition: ”Possibly shoots”. OO=”ducks”=scores of 0 in cricket, following BA=”graduate” and MB=”doctor”"
