,Clue,Answer,Explanation
0,"14 down’s financial advice given years after one in rest-home perished (5,2,2,5)",THERE IS NO MONEY,"14 down’s financial advice given years after one in rest-home perished (5,2,2,5) 
*(one in rest-home) Y(years). 
 
(When the Conservatives won the General Election in 2010, Liam Byrne famously left a note to his successor which read, “Dear Chief Secretary, I’m afraid **there is no money**. Kind regards – and good luck! Liam.”)"
1,Franco-German affirmations for board (5),OUIJA,"Franco-German affirmations for board (5) 
French and German words for YES"
2,Electra stirred the syrup (7),TREACLE,"Electra stirred the syrup (7) 
*(electra)"
3,Goddess found in A&E (7),ASTARTE,"Goddess found in A&E (7)
 
A(START)E – the Greek name for the Mesoptomanian goddess Ishtar."
4,Place for single animal – that’s hedge (5),STALL,"Place for single animal – that’s hedge (5) 
Double definition"
5,"Drunken boss one in scrum (5,4)",TIGHT HEAD,"Drunken boss one in scrum (5,4) 
TIGHT (drunken) HEAD (boss). (The tight head prop is a rugby player – a forward who normally wears the number 3)"
6,"Good riddance to contented, stable employee (3)",LAD,"Good riddance to contented, stable employee (3) 
G (good) removed from GLAD"
7,"Rev is playing on piano, having introduced giants’ musical style (11)",PROGRESSIVE,"Rev is playing on piano, having introduced giants’ musical style (11) 
P(piano) OGRES in *(rev is). “playing” is the anagrind."
8,"Reasonable to fill pipe again broken as uninspected purchase (1,3,2,1,4)",A PIG IN A POKE,"Reasonable to fill pipe again broken as uninspected purchase (1,3,2,1,4) 
OK in *(pipe again)"
9,Aeroplane prank gets son ejected (3),JET,"Aeroplane prank gets son ejected (3) 
JEST (prank) with S (son) removed."
10,Bill enters revamped BBC home to forage (9),BEACHCOMB,"Bill enters revamped BBC home to forage (9) 
AC (bill) enters *(BBC home)"
11,"Amenhotep, so mighty, captures Derby town (5)",EPSOM,"Amenhotep, so mighty, captures Derby town (5) 
EPSOM (home of the Derby horse racing classic) is hidden in Amenhot**EP SO M**ighty."
12,God in London district creates atmospheric effect (7),RAINBOW,"God in London district creates atmospheric effect (7) 
RA (Egyptian god) IN BOW (London district)"
13,"University type, in love with Scotsman, stays overnight in Rome? (7)",OXONIAN,"University type, in love with Scotsman, stays overnight in Rome? (7) 
O (love) NOX (night in Rome, reversed (“over”)) IAN (Scotsman). Nox was the Roman goddess of the night."
