,Clue,Answer,Explanation
0,He’s travelling with gent around a 22 monument,STONEHENGE,Anagram of HE’S + GENT (anagrind is ‘travelling’) around ONE (a) = ancient monument found in Wiltshire
1,Eggs laid back by new 22 flower,AVON,"OVA (eggs) reversed or ‘laid back’ + N (new) = river or flower (something that flows) in Wiltshire. This one was our second entry and we eagerly started looking for places connected with Bristol – our home city, or Stratford. Our third entry was 21d and we quickly realised our mistake!"
2,"22 village aviator, advancing acceleration",LACOCK,"ALCOCK (aviator) with ‘A’ (acceleration) being moved further on or ‘advanced’ = famous for its Abbey and the museum devoted to Fox Talbot, an early photographer. Is there a gremlin here though as the A is actually advanced when you change the place to the aviator rather than the other way around."
3,"Primarily, sauce recipe’s kept in cooking apron pouch",SPORRAN,S (first or primary letter of Sauce) + R (recipe) in an anagram of APRON = pouch
4,Quiet one avoids provocative fashion designer,QUANT,(pi)QUANT (provocative) without P (quiet) I (one) = who created the mini skirt and hot pants in the 1960s
5,Briefly Northern Ireland city resident in e.g. 22 cathedral,SALISBURY,LISBUR(n) (Northern Ireland city without last letter or ‘briefly’) in or ‘resident in’ SAY (e.g.) = in Wiltshire
6,22 College fags reported,MARLBOROUGH,"The college in the Wiltshire town of the same name, rather than the American cigarettes (fags) that sound the same (‘reported’), but are spelt differently. We would include the brand name but we don’t want to advertise them being avid non-smokers!"
7,Animating Yankee regularly wears sunshade,AWAKENING,yAnKeE (regular letters of Yankee) in or ‘wearing’ AWNING (sunshade) = animating
8,Caribbean soldier bearing flags,WILTS,"WI (West Indies or Caribbean) + LT (soldier) + S (South, a bearing) = flags, but also short for WILTSHIRE, the theme for the puzzle."
9,New lino’s fitted at front of premises – needing such footwear?,NONSLIP,Anagram of N (new) and LINO’S (anagrind is ‘fitted’) + P (front or first letter of premises) = type of footwear that might be suitable for new lino
10,22 carpet business left till in triumph,WILTON,L (left) + TO (till) in WIN (triumph) = famous carpet business in Wiltshire
11,"Word crucially used, slicing iron?",FORE,"OR (middle or ‘crucial’ letters of word) inside or ‘slicing’ FE (iron) = cryptic definition – ‘fore’ is a word reputedly shouted in golf to warn other players when you hit (and possibly slice) the ball with your club, possibly an iron"
12,"Lovemaking exercises – preformed outside, typically",AS EXPECTED,SEX (lovemaking) + PE (exercises) with ACTED (performed) outside = typically – we liked this clue!!
13,Man United pro’s raising level,STRATUM,M (man) + U (united) + TART’S (pro’s as in prostitute’s) all reversed or ‘raising’ = level
14,Island mansion created sleeplessness,INSOMNIA,I (island) + anagram of MANSION (anagrind is ‘created’) = sleeplessness
15,Roger wears red clog,CHOKE,"OK (Roger) in or ‘wearing’ CHE (red, as in Che Guevara, the Marxist revolutionary) = clog"
16,"Daily circuit, lifting weight",ONUS,SUN (daily – glad Scorpion didn’t say newspaper!) + O (circuit) all reversed or ‘lifting’ = weight
17,George eats up small Indian,GERONIMO,GEO (George) around or ‘eating’ MINOR (small) reversed or ‘up’ = Indian
18,"City streetmap withdrawn, ascending peak",ZAGREB,"AZ (streetmap) reversed or ‘withdrawn’ + BERG (peak) also reversed or ‘ascending’ = City, the capital of Croatia"
19,"Ordinary chap, outside pub mostly, tracks chippy’s trade",JOINERY,JOE (ordinary chap) around or ‘outside’ IN(n) (pub mostly – without the last letter) + RY (railway or ‘tracks’) = chippy’s (as in carpenter’s) trade
20,Arkansas housing business bearing fruit,ACORN,"AR (Arkansas) around or ‘housing’ CO (company or ‘business’) + N (North, a ‘bearing’ – 2nd use of this device in this puzzle) = fruit"
21,"22 animal park, with pine and lake to have a meal",LONGLEAT,"LONG (pine, as in yearn) + L (lake) + EAT (have a meal) = Animal park in Wiltshire"
22,Government deliver security measure for road problem,GRIDLOCK,G (government) + RID (deliver) + LOCK (security measure) = road problem
23,22 town academic pursues second land,SWINDON,"DON (academic) after or ‘pursuing’ S (second) + WIN (land, in the sense of obtain or secure) = Wiltshire town"
