,Clue,Answer,Explanation
0,"Grey skirt in the drawer (8,6) CHARCOAL (grey) + PENCIL (skirt). I understand that there is a type of skirt called a pencil skirt.",CHARCOAL PENCIL,"Grey skirt in the drawer (8,6) CHARCOAL (grey) + PENCIL (skirt). I understand that there is a type of skirt called a pencil skirt."
1,"Moving to the next line in marriage starts with a 90% reduction to income (8,6) MARRIAGE with ‘M’ replaced by ‘C’ (i.e. 1000 in Roman numerals changed to 100) RETURN (income)",CARRIAGE RETURN,"Moving to the next line in marriage starts with a 90% reduction to income (8,6) MARRIAGE with ‘M’ replaced by ‘C’ (i.e. 1000 in Roman numerals changed to 100) RETURN (income)"
2,Henry Holmes into being stripped of registration (9) [h]ENR[y] [h]OLME[s] [i]NT[o],ENROLMENT,Henry Holmes into being stripped of registration (9) [h]ENR[y] [h]OLME[s] [i]NT[o]
3,"Herr Sanger’s changed hands for the gang (5,6) HERR SANGERS with ‘R’s changed to ‘L’s (i.e. rights to lefts)",HELLS ANGELS,"Herr Sanger’s changed hands for the gang (5,6) HERR SANGERS with ‘R’s changed to ‘L’s (i.e. rights to lefts)"
4,"A couple is firm that a chaperone is not required (4,7) TWOS (a couple is) COMPANY (firm)",TWOS COMPANY,"A couple is firm that a chaperone is not required (4,7) TWOS (a couple is) COMPANY (firm)"
5,May be a hair shirt for the last to leave town (7) PEN[z]ANCE,PENANCE,May be a hair shirt for the last to leave town (7) PEN[z]ANCE
6,Plots for dogs (7) P (p…) + OODLES (…lots). Thank you to Sil for explaining this one.,POODLES,Plots for dogs (7) P (p…) + OODLES (…lots). Thank you to Sil for explaining this one.
7,Money hideout reported on the radio (4) homophone of “cache” (hideout),CASH,Money hideout reported on the radio (4) homophone of “cache” (hideout)
8,Start to eat in pleasant setting with part of the family (5) E[at] in NICE (pleasant),NIECE,Start to eat in pleasant setting with part of the family (5) E[at] in NICE (pleasant)
9,13 feature from crazy backwards people (9) MAD (crazy) backwards NATION (people),DAMNATION,13 feature from crazy backwards people (9) MAD (crazy) backwards NATION (people)
10,Cake with calories out? Not so! (6) anagram of CAL[o]RIE[s],ECLAIR,Cake with calories out? Not so! (6) anagram of CAL[o]RIE[s]
11,It’s good in youth then to have frivolous talk (8) If it’s good in youth then perhaps it’s BAD IN AGE!,BADINAGE,It’s good in youth then to have frivolous talk (8) If it’s good in youth then perhaps it’s BAD IN AGE!
12,"West End in messy, chaotic organisation (6) [wes]T in anagram of MESSY",SYSTEM,"West End in messy, chaotic organisation (6) [wes]T in anagram of MESSY"
13,"A lens, say, to capture you, old girl (8) YE (you old) in EG (say) LASS (girl)",EYEGLASS,"A lens, say, to capture you, old girl (8) YE (you old) in EG (say) LASS (girl)"
14,"Dogs and poultry catch up, but not in the main text (6,8) IN A PS (not in the main text) backwards in COCKERELS (poultry)",COCKER SPANIELS,"Dogs and poultry catch up, but not in the main text (6,8) IN A PS (not in the main text) backwards in COCKERELS (poultry)"
15,"Highlights our problem in Arab love for Israel’s destruction (6,8) anagram of OUR in ARAB anagram of O (love) ISRAEL",AURORA BOREALIS,"Highlights our problem in Arab love for Israel’s destruction (6,8) anagram of OUR in ARAB anagram of O (love) ISRAEL"
16,"Cold, cutting inactivity (10) CHILL (cold) AXING (cutting)",CHILLAXING,"Cold, cutting inactivity (10) CHILL (cold) AXING (cutting)"
17,Seraglio almost built here? (7) anagram of SERAGLI[o],ALGIERS,Seraglio almost built here? (7) anagram of SERAGLI[o]
18,The Alps expedition ends badly for them (9) anagram of THE ALPS E[xpeditio]N. A semi-&lit.,ELEPHANTS,The Alps expedition ends badly for them (9) anagram of THE ALPS E[xpeditio]N. A semi-&lit.
19,Briefly hint flat is a suitable location for nightlife (8) CLU[e] (briefly hint) + BLAND (flat),CLUBLAND,Briefly hint flat is a suitable location for nightlife (8) CLU[e] (briefly hint) + BLAND (flat)
20,They may be poets who keep an eye on the ball (8) double definition,LINESMEN,They may be poets who keep an eye on the ball (8) double definition
21,Wine drinking lover turns into a beast (9) anagram of LOVER in WINE,WOLVERINE,Wine drinking lover turns into a beast (9) anagram of LOVER in WINE
22,Dodge has broken down despite circling soft-top (8) S[oft] in anagram of DESPITE,SIDESTEP,Dodge has broken down despite circling soft-top (8) S[oft] in anagram of DESPITE
23,Bug scoundrel among spies (6) CAD (scoundrel) in CIA (spied),CICADA,Bug scoundrel among spies (6) CAD (scoundrel) in CIA (spied)
