,Clue,Answer,Explanation
0,"Joint in which sophisticated parents get seasonable snow (5,9)",WHITE CHRISTMAS,"WRIST (joint) in which you will find HI TECH (sophisticated) then MAS (mothers, parents)"
1,Carnivore of little weight (5),OUNCE,double definition – a type of cat
2,Whistleblower at home with female of course (9),REFRESHER,"REF (whistleblower) at (next to) RES (residence, home) with HER (female) – a type of course"
3,Give hell to girl then give her P45 (7),DISMISS,DIS (hell) given to MISS (girl)
4,P45 made of hessian? (7),SACKING,double definition
5,Welsh town not on top (5),NEATH,double definition
6,"Austria, say, turned right out of churchyard (9)",ARCHDUCHY,CHURCHYArD* (anagram=turned) with R=right taken out
7,"Wine helps to blur the effect of skidding (5,4)",WHEEL SPIN,(WINE HELPS)* anagam=to blur
8,City slicker’s little friend with his tail for his head (5),YUPPY,pUPPY (little friend) with Y (its tail) replacing its head
9,Type of acid for people with a lot of rodents (7),RACEMIC,"RACE (people) with MICe (rodents, most of) – a form of tartaric acid"
10,"Student, supposing him to be posh, has a flying start (4-3)",LIFT OFF,L (student) IF TOFF (supposing to be posh)
11,Common insect keeps debt collector from getting P45? (9),REDUNDANT,DUN (a debt collector) in RED ANT (common insect)
12,Lakeland water from river for female reactionary (5),RYDAL,R (river) LADY (female) reversed (reactionary) – Rydal Water is a lake in the Lake District
13,"“Halt!” “Left wheel!” etc, with P45? (8,6)",MARCHING ORDERS,double definition
14,". . . . in Rome and 6 in Rome, fowing in Rome (5)",TREVI,"TRE (3 in Italian, the clue number) VI (six, Roman numerals) – the Trevi Fountain flows in Rome"
15,"P45, instrument for cheat (9)",CARDSHARP,CARDS (P45) HARP (instrument)
16,"William in America, under cover with backing (5)",RUFUS,"US (America) under FUR (cover) backing – William Rufus, William II king of England"
17,"Dispatch always covers church school occasion (6,3)",SPEECH DAY,CH (church) in SPEED (dispatch) AY (always)
18,"Muslim leader, no leader for Jihad possibly (5)",MAHDI,"M (leading letter of muslim) and jIHAD* (anagram=possibly) with no leading letter – the definition is &lit. I looked up Mahdi in Wikipedia, but was unable to conclude if he was/is/will be a Jihadi leader or the person to end all Jihads. Great clue whatever."
19,"Scout leader, rugged but too thin (7)",SCRAGGY,S (leading letter of scout) CRAGGY (rugged)
20,"Improved P45 with information about former employees and fish (6,9)",GOLDEN HANDSHAKE,OLD (former) in GEN (information) then HANDS (employees) and HAKE (fish) – definition is ‘improved P45’
21,"Aspirations about half the games not playing in Ramadan (4,5)",HOLY MONTH,"OLYMpics (the games, half of) and NOT* (playing=anagram) in HH (two aspirations, letter H)"
22,Prison first allowed to painter (9),CANALETTO,"CAN (prison) A (first) LET (allowed) TO – Giovanni Antonio Canal, Italian painter better known as Canaletto"
23,Saucer successful last year? (9),CUPHOLDER,double/cryptic definition
